state	act_participation_2018	act_composite_2018	act_english_2018	act_math_2018	act_reading_2018	act_science_2018
Alabama	100	19.1	18.9	18.3	19.6	19.0
Alaska	33	20.8	19.8	20.6	21.6	20.7
Arizona	66	19.2	18.2	19.4	19.5	19.2
Arkansas	100	19.4	19.1	18.9	19.7	19.4
California	27	22.7	22.5	22.5	23.0	22.1
Colorado	30	23.9	23.9	23.2	24.4	23.5
Connecticut	26	25.6	26.0	24.8	26.1	24.9
Delaware	17	23.2	23.7	23.1	24.5	23.4
District of Columbia	32	23.6	23.7	22.7	24.4	23.0
Florida	66	19.9	19.2	19.3	21.1	19.5
Georgia	53	21.4	20.9	20.7	21.2	21.4
Hawaii	89	18.9	18.2	19.0	19.1	19.0
Idaho	36	22.3	21.9	21.6	23.2	22.1
Illinois	43	23.9	24.1	23.4	24.2	23.4
Indiana	32	22.5	21.9	22.3	23.1	22.2
Iowa	68	21.8	21.0	21.2	22.5	22.0
Kansas	71	21.6	21.0	21.1	22.3	21.5
Kentucky	100	20.2	19.9	19.7	20.8	20.1
Louisiana	100	19.2	19.0	18.5	19.6	19.1
Maine	7	24.0	23.8	23.6	24.7	23.4
Maryland	31	22.5	22.1	22.0	23.1	22.2
Massachusetts	25	25.5	25.5	25.2	25.9	24.7
Michigan	22	24.4	24.5	23.9	24.7	23.9
Minnesota	99	21.3	20.2	21.4	21.7	21.4
Mississippi	100	18.6	18.2	18.1	18.9	18.6
Missouri	100	20.0	19.5	19.7	20.5	20.0
Montana	100	20.0	18.7	19.9	20.7	20.0
Nebraska	100	20.1	19.4	19.8	20.4	20.1
Nevada	100	17.7	16.6	17.8	18.0	17.9
New Hampshire	16	25.1	25.1	24.7	25.6	24.4
New Jersey	31	23.7	23.8	23.6	24.0	23.0
New Mexico	67	19.4	18.3	19.1	20.1	19.7
New York	27	24.5	24.2	24.2	24.9	24.2
North Carolina	100	19.1	18.0	19.3	19.5	19.2
North Dakota	98	20.3	19.1	20.3	20.7	20.5
Ohio	100	20.3	19.3	20.3	20.8	20.4
Oklahoma	100	19.3	18.4	18.8	20.1	19.4
Oregon	42.0	21.3	20.6	20.9	21.9	21.1
Pennsylvania	20	23.5	23.3	23.2	24.0	23.1
Rhode Island	15	24.2	24.4	23.6	25.0	23.5
South Carolina	100	18.3	17.3	18.2	18.6	18.5
South Dakota	77	21.9	20.8	21.6	22.4	22.2
Tennessee	100	19.6	19.4	19.1	19.9	19.6
Texas	41	20.6	19.6	20.6	21.1	20.8
Utah	100	20.4	19.7	19.9	20.9	20.5
Vermont	24	24.1	23.9	23.4	24.9	23.8
Virginia	24	23.9	23.8	23.3	24.7	23.5
Washington	24	22.2	21.4	22.2	22.7	22.0
West Virginia	65	20.3	19.8	19.4	21.3	20.4
Wisconsin	100	20.5	19.8	20.3	20.6	20.8
Wyoming	100	20.0	19.0	19.7	20.6	20.3
